Date,Price,Open,High,Low,Vol.,Change %,MA7,MA30,Daily Return,Daily Range,Price Change,Volatility,RSI,MACD,Signal Line,BB_High,BB_Low,Quarter,Previous_Close,High_Low,High_PC,Low_PC,TR,ATR,Lowest_Low,Highest_High,%K,%D
2025-01-23,29997.69,29979.14,30258.34,29947.05,71450000.0,0.0006,29891.635714285716,30271.06233333333,-0.0012372294184921362,311.2900000000009,18.549999999999272,0.0060779610717709995,58.28798846545059,-195.7331857661593,-231.03132169961194,30667.758263360134,29322.114736639865,1,30034.85,311.2900000000009,223.4900000000016,87.79999999999927,311.2900000000009,380.3657142857145,29453.98,30276.52,66.10134461545925,68.59947668768494
2025-01-22,29979.14,29826.58,30178.66,29826.58,106300000.0,0.0051,29900.37571428571,30241.152333333335,-0.0006183809486663971,352.0799999999981,152.55999999999767,0.005788072741335205,60.66115447664173,-177.3920093237175,-220.30345922443308,30488.374264525435,29411.884735474563,1,29997.69,352.0799999999981,180.97000000000116,171.10999999999694,352.0799999999981,370.8085714285714,29596.5,30276.52,56.26893326666851,67.6037863793992
2025-01-21,29826.58,29619.39,29826.58,29607.07,88870000.0,0.006999999999999999,29874.084285714285,30209.943333333333,-0.005088871795521754,219.51000000000204,207.19000000000233,0.005954767820434065,47.75713432156377,-173.17060887082334,-210.87688915371115,30365.54162347114,29458.594376528858,1,29979.14,219.51000000000204,152.55999999999767,372.0699999999997,372.0699999999997,350.23857142857145,29596.5,30276.52,33.834298991206374,52.06819229111138
2025-01-20,29619.39,29728.61,29857.25,29610.89,75000000.0,-0.0037,29835.195714285714,30164.305999999997,-0.006946488668831741,246.36000000000058,-109.22000000000116,0.0063096176837480495,39.360234523193604,-184.41776681945703,-205.58506468686033,30272.500447622282,29469.90355237772,1,29826.58,246.36000000000058,30.669999999998254,215.69000000000233,246.36000000000058,346.65000000000015,29596.5,30276.52,3.366077468309668,31.15643657539485
2025-01-19,29728.61,29605.12,29840.53,29605.12,90300000.0,0.0042,29846.911428571428,30126.667333333335,0.0036874493363976413,235.40999999999985,123.4900000000016,0.005711726712975396,42.78383873384052,-182.41530918013086,-200.95111358551443,30142.709154547392,29528.173845452602,1,29619.39,235.40999999999985,221.13999999999942,14.270000000000437,235.40999999999985,343.55928571428586,29596.5,30276.52,19.427369783241744,18.875915414252596
2025-01-16,29605.12,29389.93,29730.63,29389.93,90700000.0,0.0073,29827.34,30093.156666666666,-0.00415391099684792,340.7000000000007,215.1899999999987,0.005786098617396044,46.39527880157592,-188.61867930111111,-198.4846267286338,30129.305088455494,29502.3789115445,1,29728.61,340.7000000000007,2.0200000000004366,338.6800000000003,340.7000000000007,338.2278571428573,29389.93,30276.52,24.27164754847208,15.688364933341164
2025-01-15,29389.93,28967.09,29389.93,28967.09,128560000.0,0.0146,29735.20857142857,30051.756,-0.007268675148082493,422.84000000000015,422.84000000000015,0.003935663917220676,42.886330435493235,-208.49552279417549,-200.48680594174215,30161.495259731215,29442.982740268788,1,29605.12,422.84000000000015,215.1899999999987,638.0299999999988,638.0299999999988,364.5928571428573,28967.09,30276.52,32.2919132752419,25.330310202318575
2025-01-14,28967.09,28556.28,29097.25,28349.98,105460000.0,0.0144,29587.98,29995.495,-0.014387240799825007,747.2700000000004,410.8100000000013,0.005663375918940937,32.834129502423366,-255.42335717997412,-211.47411618938855,30276.032428356735,29268.733571643268,1,29389.93,747.2700000000004,292.6800000000003,1039.9500000000007,1039.9500000000007,415.1064285714289,28349.98,30276.52,32.03203670829572,29.531865844003235
2025-01-13,28556.28,29277.45,29587.41,28556.28,93270000.0,-0.0246,29384.714285714286,29916.528,-0.014181956144024177,1031.130000000001,-721.1700000000019,0.006220112421092228,23.21573286544924,-322.05053959414727,-233.5894008703403,30431.358392121398,28978.494607878605,1,28967.09,1031.130000000001,620.3199999999997,410.8100000000013,1031.130000000001,457.0835714285718,28349.98,30276.52,10.708316463712105,25.01075548241658
2025-01-12,29277.45,29444.65,29444.65,28969.26,75920000.0,-0.005699999999999999,29306.26714285714,29858.767999999996,0.025254339850989016,475.39000000000306,-167.20000000000073,0.013733015177610466,38.43744578845279,-313.05200114834224,-249.4819209259407,30402.716569434906,28933.45443056509,1,28556.28,475.39000000000306,888.3700000000026,412.97999999999956,888.3700000000026,503.7000000000007,28349.98,30276.52,48.14174634318523,30.29403317173102
2025-01-09,29444.65,29785.91,29894.5,29444.65,59070000.0,-0.0115,29281.304285714286,29809.765666666666,0.005710879875125752,449.84999999999854,-341.2599999999984,0.013893223769371145,43.05669475306344,-289.0964282788518,-257.40482239652295,30362.78686638407,28916.665133615934,1,29277.45,449.84999999999854,617.0499999999993,167.20000000000073,617.0499999999993,521.773571428572,28349.98,30276.52,56.82051761188459,38.55686013959397
2025-01-08,29785.91,29929.64,29950.54,29669.41,68350000.0,-0.0048,29289.489999999998,29773.45333333333,0.011589881353658349,281.130000000001,-143.72999999999956,0.014617294071937195,52.10127636211158,-239.81025092208438,-253.88590810163524,30366.967925122095,28917.5160748779,1,29444.65,281.130000000001,505.8899999999994,224.7599999999984,505.8899999999994,539.7978571428575,28349.98,30276.52,74.53413892262812,59.83213429256599
2025-01-06,29929.64,30183.61,30238.27,29908.35,113560000.0,-0.0084,29335.850000000002,29751.514333333336,0.004825435919197929,329.9200000000019,-253.97000000000116,0.014548349999751407,52.787904017127055,-186.99720312493446,-240.5081671062951,30390.77824224587,28919.822757754133,1,29785.91,329.9200000000019,452.3600000000006,122.43999999999869,452.3600000000006,540.3635714285717,28349.98,30276.52,81.99466400905246,71.1164401811884
2025-01-05,30183.61,30060.48,30279.95,30059.96,72230000.0,0.0040999999999999995,29449.23285714286,29743.077666666668,0.008485568152507117,219.9900000000016,123.13000000000102,0.014152064462169735,52.237436603957505,-123.22872176677265,-217.05227803839063,30446.763162810472,28906.72183718953,1,29929.64,219.9900000000016,350.3100000000013,130.3199999999997,350.3100000000013,527.214285714286,28349.98,30279.95,95.00821256288957,83.84567183152338
2025-01-02,30060.48,29740.58,30127.45,29740.58,85060000.0,0.0108,29605.43142857143,29730.299666666666,-0.004079366252081829,386.869999999999,319.8999999999978,0.012354236046857068,50.920590796731105,-81.68568113839137,-189.9789586583908,30465.240638594074,28902.496361405927,1,30183.61,386.869999999999,56.159999999999854,443.02999999999884,443.02999999999884,536.6242857142859,28349.98,30279.95,88.62832064747114,88.54373240647107
2024-12-31,29740.58,29325.2,29740.58,29325.2,102620000.0,0.014199999999999999,29774.617142857143,29721.748666666666,-0.0106418793046551,415.380000000001,415.380000000001,0.01146050407051887,46.786343576728505,-73.72591220004324,-166.7283493667213,30437.89704222687,28902.835957773124,4,30060.48,415.380000000001,319.8999999999978,735.2799999999988,735.2799999999988,563.9957142857145,28349.98,30279.95,72.0529334652871,85.22982222521594
2024-12-30,29325.2,29594.48,29700.82,29237.94,97650000.0,-0.0091,29781.43857142857,29710.522333333334,-0.013966775362148298,462.880000000001,-269.27999999999884,0.009888226593245439,43.69250820233086,-99.78517115490104,-153.33971372435724,30416.599533111872,28867.492466888132,4,29740.58,462.880000000001,39.76000000000204,502.64000000000306,502.64000000000306,573.3221428571433,28349.98,30279.95,50.530319124131495,70.40385774562992
2024-12-29,29594.48,29957.97,30033.84,29594.48,71230000.0,-0.0121,29802.84285714286,29711.531333333336,0.009182546069592012,439.3600000000006,-363.4900000000016,0.010285403917641194,49.69144595535319,-97.58379089269874,-142.18852915802555,30414.2653789081,28864.614621091903,4,29325.2,439.3600000000006,708.6399999999994,269.27999999999884,708.6399999999994,606.3421428571431,28349.98,30279.95,64.48286760934104,62.35537339958655
2024-12-26,29957.97,30005.0,30039.6,29937.24,53510000.0,-0.0016,29827.42285714286,29713.283333333333,0.012282358061368237,102.35999999999694,-47.029999999998836,0.010409388264188234,52.67267015316349,-65.75064349760578,-126.9009520259416,30436.408110964294,28864.05688903571,4,29594.48,102.35999999999694,445.119999999999,342.76000000000204,445.119999999999,621.3214285714288,28349.98,30279.95,83.31683912185167,66.1100086184414
